model_name,split,calibration_mode,label,bin,bin_left,bin_right,confidence,accuracy,count
strong_signal_only,val,temperature_scaled,NORM,0,0.0,0.1,0.018304822134195868,0.01972872996300863,811
strong_signal_only,val,temperature_scaled,NORM,1,0.1,0.2,0.149854337567823,0.14912280701754385,114
strong_signal_only,val,temperature_scaled,NORM,2,0.2,0.30000000000000004,0.24592523200779545,0.21428571428571427,98
strong_signal_only,val,temperature_scaled,NORM,3,0.30000000000000004,0.4,0.35398822480982,0.37662337662337664,77
strong_signal_only,val,temperature_scaled,NORM,4,0.4,0.5,0.45082547240061305,0.4383561643835616,73
strong_signal_only,val,temperature_scaled,NORM,5,0.5,0.6000000000000001,0.5530118153941247,0.5161290322580645,93
strong_signal_only,val,temperature_scaled,NORM,6,0.6000000000000001,0.7000000000000001,0.6581751441442838,0.6881720430107527,93
strong_signal_only,val,temperature_scaled,NORM,7,0.7000000000000001,0.8,0.7464872046108664,0.7737226277372263,137
strong_signal_only,val,temperature_scaled,NORM,8,0.8,0.9,0.8568284289231376,0.8293650793650794,252
strong_signal_only,val,temperature_scaled,NORM,9,0.9,1.0,0.9516209194029884,0.9494252873563218,435
strong_signal_only,val,temperature_scaled,MI,0,0.0,0.1,0.029524805020789024,0.03518821603927987,1222
strong_signal_only,val,temperature_scaled,MI,1,0.1,0.2,0.1449040375808452,0.16595744680851063,235
strong_signal_only,val,temperature_scaled,MI,2,0.2,0.30000000000000004,0.24795234286122853,0.31746031746031744,126
strong_signal_only,val,temperature_scaled,MI,3,0.30000000000000004,0.4,0.3463500746824209,0.36893203883495146,103
strong_signal_only,val,temperature_scaled,MI,4,0.4,0.5,0.451570452384229,0.5943396226415094,106
strong_signal_only,val,temperature_scaled,MI,5,0.5,0.6000000000000001,0.5492572392288008,0.631578947368421,76
strong_signal_only,val,temperature_scaled,MI,6,0.6000000000000001,0.7000000000000001,0.6526698503229353,0.6111111111111112,72
strong_signal_only,val,temperature_scaled,MI,7,0.7000000000000001,0.8,0.749233815871494,0.8591549295774648,71
strong_signal_only,val,temperature_scaled,MI,8,0.8,0.9,0.8533486766987536,0.9036144578313253,83
strong_signal_only,val,temperature_scaled,MI,9,0.9,1.0,0.9431850327534622,1.0,89
strong_signal_only,val,temperature_scaled,STTC,0,0.0,0.1,0.029022610646632974,0.009892086330935251,1112
strong_signal_only,val,temperature_scaled,STTC,1,0.1,0.2,0.1437665607499064,0.12264150943396226,212
strong_signal_only,val,temperature_scaled,STTC,2,0.2,0.30000000000000004,0.24851814437596526,0.1885245901639344,122
strong_signal_only,val,temperature_scaled,STTC,3,0.30000000000000004,0.4,0.3477959551857513,0.3300970873786408,103
strong_signal_only,val,temperature_scaled,STTC,4,0.4,0.5,0.4493056037803976,0.43902439024390244,82
strong_signal_only,val,temperature_scaled,STTC,5,0.5,0.6000000000000001,0.5514277964830399,0.5625,80
strong_signal_only,val,temperature_scaled,STTC,6,0.6000000000000001,0.7000000000000001,0.650241033597426,0.6753246753246753,77
strong_signal_only,val,temperature_scaled,STTC,7,0.7000000000000001,0.8,0.7527520060539246,0.6,85
strong_signal_only,val,temperature_scaled,STTC,8,0.8,0.9,0.856163315474987,0.6953125,128
strong_signal_only,val,temperature_scaled,STTC,9,0.9,1.0,0.9468488919210958,0.8846153846153846,182
strong_signal_only,val,temperature_scaled,CD,0,0.0,0.1,0.032066626354644544,0.0248,1250
strong_signal_only,val,temperature_scaled,CD,1,0.1,0.2,0.14114350380631985,0.11374407582938388,211
strong_signal_only,val,temperature_scaled,CD,2,0.2,0.30000000000000004,0.24952753826423926,0.17592592592592593,108
strong_signal_only,val,temperature_scaled,CD,3,0.30000000000000004,0.4,0.3456743085576642,0.3064516129032258,62
strong_signal_only,val,temperature_scaled,CD,4,0.4,0.5,0.44814724601232087,0.3076923076923077,65
strong_signal_only,val,temperature_scaled,CD,5,0.5,0.6000000000000001,0.5523444280332449,0.4897959183673469,49
strong_signal_only,val,temperature_scaled,CD,6,0.6000000000000001,0.7000000000000001,0.647081334339945,0.4473684210526316,38
strong_signal_only,val,temperature_scaled,CD,7,0.7000000000000001,0.8,0.7540821513887179,0.6949152542372882,59
strong_signal_only,val,temperature_scaled,CD,8,0.8,0.9,0.8565803942856965,0.7530864197530864,81
strong_signal_only,val,temperature_scaled,CD,9,0.9,1.0,0.962272089261275,0.9192307692307692,260
strong_signal_only,val,temperature_scaled,HYP,0,0.0,0.1,0.029777640716285744,0.03522818254603683,1249
strong_signal_only,val,temperature_scaled,HYP,1,0.1,0.2,0.14513744729245368,0.10122699386503067,326
strong_signal_only,val,temperature_scaled,HYP,2,0.2,0.30000000000000004,0.24526288356575263,0.14720812182741116,197
strong_signal_only,val,temperature_scaled,HYP,3,0.30000000000000004,0.4,0.3473332167144806,0.24603174603174602,126
strong_signal_only,val,temperature_scaled,HYP,4,0.4,0.5,0.4505623017038618,0.2714285714285714,70
strong_signal_only,val,temperature_scaled,HYP,5,0.5,0.6000000000000001,0.5435245297171852,0.34545454545454546,55
strong_signal_only,val,temperature_scaled,HYP,6,0.6000000000000001,0.7000000000000001,0.6510967141703555,0.43859649122807015,57
strong_signal_only,val,temperature_scaled,HYP,7,0.7000000000000001,0.8,0.7489180717062442,0.5106382978723404,47
strong_signal_only,val,temperature_scaled,HYP,8,0.8,0.9,0.8526932441052937,0.7857142857142857,42
strong_signal_only,val,temperature_scaled,HYP,9,0.9,1.0,0.9342232346534729,0.7857142857142857,14
strong_signal_only,test,raw,NORM,0,0.0,0.1,0.015060315751749969,0.020506634499396863,829
strong_signal_only,test,raw,NORM,1,0.1,0.2,0.1498385199274008,0.17307692307692307,104
strong_signal_only,test,raw,NORM,2,0.2,0.30000000000000004,0.24756334943545832,0.2702702702702703,74
strong_signal_only,test,raw,NORM,3,0.30000000000000004,0.4,0.3521044329991416,0.31746031746031744,63
strong_signal_only,test,raw,NORM,4,0.4,0.5,0.4473886659575833,0.4444444444444444,72
strong_signal_only,test,raw,NORM,5,0.5,0.6000000000000001,0.5498150160366838,0.5,88
strong_signal_only,test,raw,NORM,6,0.6000000000000001,0.7000000000000001,0.6555676511538926,0.5913978494623656,93
strong_signal_only,test,raw,NORM,7,0.7000000000000001,0.8,0.7523188696401876,0.6463414634146342,164
strong_signal_only,test,raw,NORM,8,0.8,0.9,0.855166972564359,0.8325123152709359,203
strong_signal_only,test,raw,NORM,9,0.9,1.0,0.9587242570449048,0.9488188976377953,508
strong_signal_only,test,raw,MI,0,0.0,0.1,0.018417271056104502,0.05010585744530699,1417
strong_signal_only,test,raw,MI,1,0.1,0.2,0.14101233092174364,0.2658959537572254,173
strong_signal_only,test,raw,MI,2,0.2,0.30000000000000004,0.24647706711993497,0.4588235294117647,85
strong_signal_only,test,raw,MI,3,0.30000000000000004,0.4,0.3517220345410434,0.5151515151515151,66
strong_signal_only,test,raw,MI,4,0.4,0.5,0.4502649110342775,0.5892857142857143,56
strong_signal_only,test,raw,MI,5,0.5,0.6000000000000001,0.551195852458477,0.65625,64
strong_signal_only,test,raw,MI,6,0.6000000000000001,0.7000000000000001,0.6484568195958291,0.6451612903225806,62
strong_signal_only,test,raw,MI,7,0.7000000000000001,0.8,0.7465776723844034,0.7592592592592593,54
strong_signal_only,test,raw,MI,8,0.8,0.9,0.8479596640382494,0.8571428571428571,70
strong_signal_only,test,raw,MI,9,0.9,1.0,0.9609936783645326,0.9536423841059603,151
strong_signal_only,test,raw,STTC,0,0.0,0.1,0.025037018832076676,0.023064250411861616,1214
strong_signal_only,test,raw,STTC,1,0.1,0.2,0.14332633789628743,0.135,200
strong_signal_only,test,raw,STTC,2,0.2,0.30000000000000004,0.2503962792101361,0.2,105
strong_signal_only,test,raw,STTC,3,0.30000000000000004,0.4,0.3557443353864882,0.3333333333333333,81
strong_signal_only,test,raw,STTC,4,0.4,0.5,0.4513778580773261,0.4032258064516129,62
strong_signal_only,test,raw,STTC,5,0.5,0.6000000000000001,0.5463128695264459,0.421875,64
strong_signal_only,test,raw,STTC,6,0.6000000000000001,0.7000000000000001,0.6561892228340035,0.47761194029850745,67
strong_signal_only,test,raw,STTC,7,0.7000000000000001,0.8,0.7497952505946159,0.6944444444444444,72
strong_signal_only,test,raw,STTC,8,0.8,0.9,0.8587725249308984,0.7961165048543689,103
strong_signal_only,test,raw,STTC,9,0.9,1.0,0.9517239451408386,0.8782608695652174,230
strong_signal_only,test,raw,CD,0,0.0,0.1,0.027962872242124077,0.03343701399688958,1286
strong_signal_only,test,raw,CD,1,0.1,0.2,0.14371226376322943,0.12149532710280374,214
strong_signal_only,test,raw,CD,2,0.2,0.30000000000000004,0.25268583391842087,0.30526315789473685,95
strong_signal_only,test,raw,CD,3,0.30000000000000004,0.4,0.3464335285235142,0.2608695652173913,69
strong_signal_only,test,raw,CD,4,0.4,0.5,0.4474464446868537,0.3584905660377358,53
strong_signal_only,test,raw,CD,5,0.5,0.6000000000000001,0.5437467288970947,0.44,50
strong_signal_only,test,raw,CD,6,0.6000000000000001,0.7000000000000001,0.65270271038605,0.4406779661016949,59
strong_signal_only,test,raw,CD,7,0.7000000000000001,0.8,0.7521422950048295,0.6031746031746031,63
