model_name,probability_mode,uncertainty_score,split,coverage,metric,estimate,ci_lower,ci_upper,n_bootstrap,seed
fair_concat_mlp,temperature_scaled,entropy_macro,test,0.7,retained_macro_auroc,0.9360675725221943,0.9261638084918089,0.9453010600555521,1000,2026
fair_concat_mlp,temperature_scaled,entropy_macro,test,0.7,retained_macro_f1,0.7633344907113542,0.7426039803596104,0.7816754033799639,1000,2026
fair_concat_mlp,temperature_scaled,entropy_macro,test,0.7,retained_brier,0.06337520896449171,0.058207299150914375,0.0685619635953752,1000,2026
fair_concat_mlp,temperature_scaled,entropy_macro,test,0.7,retained_ece,0.021340440645114058,0.021605203993934976,0.031307444020864265,1000,2026
gated_fusion_mlp,temperature_scaled,entropy_macro,test,1.0,retained_macro_auroc,0.9195696937646385,0.9121777244635363,0.9268269127410633,1000,2026
gated_fusion_mlp,temperature_scaled,entropy_macro,test,1.0,retained_macro_f1,0.7313783251237391,0.7140075376206007,0.746634689401249,1000,2026
gated_fusion_mlp,temperature_scaled,entropy_macro,test,1.0,retained_brier,0.08442060143764434,0.08003252333525046,0.08860563711545386,1000,2026
gated_fusion_mlp,temperature_scaled,entropy_macro,test,1.0,retained_ece,0.019276399578809295,0.02063834324158961,0.028937406611690322,1000,2026
gated_fusion_mlp,temperature_scaled,entropy_macro,test,0.9,retained_macro_auroc,0.9257936777470327,0.9174451150767384,0.9332904081121831,1000,2026
gated_fusion_mlp,temperature_scaled,entropy_macro,test,0.9,retained_macro_f1,0.7504490796590744,0.7321020520294198,0.7669204873709528,1000,2026
gated_fusion_mlp,temperature_scaled,entropy_macro,test,0.9,retained_brier,0.07578296789933188,0.07118805512870692,0.0805965236027528,1000,2026
gated_fusion_mlp,temperature_scaled,entropy_macro,test,0.9,retained_ece,0.01654060268407818,0.018758043992338772,0.026834493982535828,1000,2026
gated_fusion_mlp,temperature_scaled,entropy_macro,test,0.8,retained_macro_auroc,0.9302500731581231,0.9217882925613786,0.9389489966477603,1000,2026
gated_fusion_mlp,temperature_scaled,entropy_macro,test,0.8,retained_macro_f1,0.7596679384162239,0.7394211536239498,0.7774711359191738,1000,2026
gated_fusion_mlp,temperature_scaled,entropy_macro,test,0.8,retained_brier,0.06867792836196228,0.06395200208104908,0.07356750917603151,1000,2026
gated_fusion_mlp,temperature_scaled,entropy_macro,test,0.8,retained_ece,0.016063946073456504,0.017665478870007568,0.026306265937499823,1000,2026
gated_fusion_mlp,temperature_scaled,entropy_macro,test,0.7,retained_macro_auroc,0.9357660282372853,0.9262154821835767,0.9450706197319889,1000,2026
gated_fusion_mlp,temperature_scaled,entropy_macro,test,0.7,retained_macro_f1,0.774960845133146,0.7527665031036312,0.795305380493817,1000,2026
gated_fusion_mlp,temperature_scaled,entropy_macro,test,0.7,retained_brier,0.06000958766006215,0.0551289867256321,0.06468672051685814,1000,2026
gated_fusion_mlp,temperature_scaled,entropy_macro,test,0.7,retained_ece,0.01602538891173791,0.017771847346611212,0.026197416127861473,1000,2026
