ecg_id,model_name,label,lead,importance_score,rank,method
2598,strong_signal_only,HYP,V4,0.0032478931825608015,1,saliency_gradient_x_input
2598,strong_signal_only,HYP,V6,0.002840148750692606,2,saliency_gradient_x_input
2598,strong_signal_only,HYP,V1,0.002750067040324211,3,saliency_gradient_x_input
2598,strong_signal_only,HYP,aVR,0.0023643854074180126,4,saliency_gradient_x_input
2598,strong_signal_only,HYP,II,0.0022603855468332767,5,saliency_gradient_x_input
2598,strong_signal_only,HYP,V3,0.0018129380187019706,6,saliency_gradient_x_input
2598,strong_signal_only,HYP,V2,0.0017535258084535599,7,saliency_gradient_x_input
2598,strong_signal_only,HYP,I,0.0015236701583489776,8,saliency_gradient_x_input
2598,strong_signal_only,HYP,aVF,0.0014893574407324195,9,saliency_gradient_x_input
2598,strong_signal_only,HYP,V5,0.0013718112604692578,10,saliency_gradient_x_input
2598,strong_signal_only,HYP,III,0.0009313289192505181,11,saliency_gradient_x_input
2598,strong_signal_only,HYP,aVL,0.0008461325196549296,12,saliency_gradient_x_input
1426,strong_signal_only,CD,V1,0.005151975899934769,1,saliency_gradient_x_input
1426,strong_signal_only,CD,V2,0.004789060913026333,2,saliency_gradient_x_input
1426,strong_signal_only,CD,II,0.0035942140966653824,3,saliency_gradient_x_input
1426,strong_signal_only,CD,I,0.0033375525381416082,4,saliency_gradient_x_input
1426,strong_signal_only,CD,V4,0.0031333635561168194,5,saliency_gradient_x_input
1426,strong_signal_only,CD,V6,0.002999364398419857,6,saliency_gradient_x_input
1426,strong_signal_only,CD,aVR,0.0028194417245686054,7,saliency_gradient_x_input
1426,strong_signal_only,CD,aVF,0.0027770576998591423,8,saliency_gradient_x_input
1426,strong_signal_only,CD,V3,0.002466329140588641,9,saliency_gradient_x_input
1426,strong_signal_only,CD,aVL,0.0022989576682448387,10,saliency_gradient_x_input
1426,strong_signal_only,CD,III,0.0021087618079036474,11,saliency_gradient_x_input
1426,strong_signal_only,CD,V5,0.0018194052390754223,12,saliency_gradient_x_input
10661,strong_signal_only,HYP,V6,0.003977503627538681,1,saliency_gradient_x_input
10661,strong_signal_only,HYP,aVR,0.0037798115517944098,2,saliency_gradient_x_input
10661,strong_signal_only,HYP,II,0.003479665145277977,3,saliency_gradient_x_input
10661,strong_signal_only,HYP,I,0.0034765296149998903,4,saliency_gradient_x_input
10661,strong_signal_only,HYP,V1,0.0027793822810053825,5,saliency_gradient_x_input
10661,strong_signal_only,HYP,aVL,0.0027284652460366488,6,saliency_gradient_x_input
10661,strong_signal_only,HYP,V2,0.0024153389967978,7,saliency_gradient_x_input
10661,strong_signal_only,HYP,aVF,0.002368462970480323,8,saliency_gradient_x_input
10661,strong_signal_only,HYP,V4,0.0022179444786161184,9,saliency_gradient_x_input
10661,strong_signal_only,HYP,V3,0.0020265786442905664,10,saliency_gradient_x_input
10661,strong_signal_only,HYP,III,0.0018384299473837018,11,saliency_gradient_x_input
10661,strong_signal_only,HYP,V5,0.0018008657498285174,12,saliency_gradient_x_input
4336,strong_signal_only,MI,aVF,0.004628938622772694,1,saliency_gradient_x_input
4336,strong_signal_only,MI,aVR,0.0038129857275635004,2,saliency_gradient_x_input
4336,strong_signal_only,MI,V1,0.0037173416931182146,3,saliency_gradient_x_input
4336,strong_signal_only,MI,II,0.0037038924638181925,4,saliency_gradient_x_input
4336,strong_signal_only,MI,V6,0.0030823657289147377,5,saliency_gradient_x_input
4336,strong_signal_only,MI,V2,0.0029906544368714094,6,saliency_gradient_x_input
4336,strong_signal_only,MI,I,0.002439197152853012,7,saliency_gradient_x_input
4336,strong_signal_only,MI,V5,0.002382531063631177,8,saliency_gradient_x_input
4336,strong_signal_only,MI,V3,0.0022722429130226374,9,saliency_gradient_x_input
4336,strong_signal_only,MI,III,0.001950254780240357,10,saliency_gradient_x_input
4336,strong_signal_only,MI,V4,0.0018181754276156425,11,saliency_gradient_x_input
4336,strong_signal_only,MI,aVL,0.001645902986638248,12,saliency_gradient_x_input
