model_name,feature,attribution_mean_abs,attribution_signed_mean,rank
fair_concat_mlp,PR_Int_aVF,0.022891190834343433,0.005146477022208273,95
fair_concat_mlp,T_Amp_I_iqr,0.02286492846906185,-0.017341280356049538,96
fair_concat_mlp,PR_Int_II_iqr,0.022829076275229454,-0.011186085641384125,97
fair_concat_mlp,R_Amp_I_iqr,0.0228124987334013,-0.011717227287590504,98
fair_concat_mlp,QRS_Dur_aVF,0.022777066566050053,0.0028343740850687027,99
fair_concat_mlp,Q_Amp_III,0.02246282808482647,-0.004769364837557077,100
fair_concat_mlp,T_Amp_V1,0.02241251803934574,-0.0022200271487236023,101
fair_concat_mlp,Q_Amp_V4,0.022253306582570076,0.011051081120967865,102
fair_concat_mlp,PR_Int_V6_iqr,0.022208891808986664,-0.001835641567595303,103
fair_concat_mlp,QT_Int_V3,0.02219444513320923,0.0035432297736406326,104
fair_concat_mlp,QT_Int_Global_iqr,0.021988265216350555,-0.011881500482559204,105
fair_concat_mlp,PQ_Int_III_iqr,0.021887851879000664,-0.014512899331748486,106
fair_concat_mlp,Q_Amp_aVF_iqr,0.021859964355826378,-0.017177409026771784,107
fair_concat_mlp,QRS_Dur_I,0.021091947332024574,0.00801981519907713,108
fair_concat_mlp,T_DurFull_V6,0.021006150171160698,-0.0006416523247025907,109
fair_concat_mlp,P_DurFull_V5_iqr,0.02093643508851528,-0.0012405689485603943,110
fair_concat_mlp,PR_Int_V6,0.020891660824418068,0.016885196790099144,111
fair_concat_mlp,T_DurFull_V6_iqr,0.02056119777262211,0.0025136282201856375,112
fair_concat_mlp,QT_IntCorr_V3_iqr,0.02045242302119732,-0.0007761310553178191,113
fair_concat_mlp,PR_Int_I_iqr,0.020334353670477867,-0.006045576184988022,114
fair_concat_mlp,P_DurFull_II,0.020282210782170296,-0.015222347341477871,115
fair_concat_mlp,Q_Amp_I_iqr,0.01998278871178627,-0.014928781427443027,116
fair_concat_mlp,PQ_Int_V2,0.019957615062594414,0.003918597009032965,117
fair_concat_mlp,PR_Int_III_iqr,0.01985183171927929,-0.013780313543975353,118
fair_concat_mlp,QT_IntCorr_III_iqr,0.01963360793888569,-0.001938852947205305,119
fair_concat_mlp,ST_Elev_III_iqr,0.019617203623056412,-0.010746538639068604,120
fair_concat_mlp,P_DurFull_V6,0.01955718733370304,-0.0012824753066524863,121
fair_concat_mlp,PQ_Int_II,0.019300667569041252,0.014653347432613373,122
fair_concat_mlp,ST_Elev_aVR_iqr,0.019229654222726822,-0.0027848146855831146,123
fair_concat_mlp,QT_IntCorr_V6_iqr,0.018659206107258797,0.00563006242737174,124
fair_concat_mlp,PR_Int_V2,0.018371744081377983,-0.0026132427155971527,125
gated_fusion_mlp,R_Amp_V6,0.05291828513145447,0.016095848637633026,1
gated_fusion_mlp,R_Amp_V5,0.04498933367431164,0.00899288202635944,2
gated_fusion_mlp,P_Morph_V2_iqr,0.03735301718115806,-0.00658345827832818,3
gated_fusion_mlp,R_Amp_I,0.03514992445707321,0.0005765614720682303,4
gated_fusion_mlp,T_Amp_V4_iqr,0.03401876178880533,-0.011860700324177742,5
gated_fusion_mlp,S_Amp_V5,0.03390691801905632,0.004471203777939081,6
gated_fusion_mlp,R_Amp_aVL,0.03389710537157953,-0.005651558079989627,7
gated_fusion_mlp,S_Amp_aVR,0.03339910879731178,4.761510717798956e-05,8
gated_fusion_mlp,P_Amp_II,0.032838862389326096,0.00912979431450367,9
gated_fusion_mlp,R_Amp_V1,0.03250957210548222,-0.0010619094828143716,10
gated_fusion_mlp,S_Amp_V4_iqr,0.03071571545054515,0.005491865798830986,11
gated_fusion_mlp,R_Amp_aVL_iqr,0.0306802187114954,-0.020460346713662148,12
gated_fusion_mlp,P_Morph_V2,0.03050480131059885,0.005715016275644302,13
gated_fusion_mlp,R_Amp_V4,0.028874668292701244,0.005082797569533189,14
gated_fusion_mlp,T_Amp_V2,0.028162181144580245,0.00030054909620957915,15
gated_fusion_mlp,QRS_Dur_V3_iqr,0.027604475617408752,0.0024606678634881973,16
gated_fusion_mlp,S_Amp_III,0.027195524238049985,0.010457978490740061,17
gated_fusion_mlp,R_Amp_aVR,0.025147705804556608,0.005967298988252878,18
gated_fusion_mlp,S_Amp_V6,0.02434387616813183,0.0006252772291190922,19
gated_fusion_mlp,QT_IntCorr_V2,0.02418822981417179,0.002071961062029004,20
gated_fusion_mlp,QRS_Dur_V1,0.024091609753668308,-0.0020347158424556255,21
gated_fusion_mlp,P_Amp_aVF,0.023155693197622895,0.005762396031059325,22
gated_fusion_mlp,P_Amp_aVF_iqr,0.02256879396736622,-0.018761295825242996,23
gated_fusion_mlp,P_Amp_V4_iqr,0.022549125986794632,-0.006816723383963108,24
gated_fusion_mlp,P_DurFull_V3_iqr,0.0225337496958673,0.0020794988377019763,25
gated_fusion_mlp,PR_Int_V1_iqr,0.022479629144072533,0.015783363953232765,26
gated_fusion_mlp,P_DurFull_I,0.021867087110877037,-0.00028342855512164533,27
gated_fusion_mlp,T_DurFull_V5_iqr,0.02178192650899291,-0.0021382429404184222,28
gated_fusion_mlp,Q_Amp_V5,0.021715037524700165,0.0192465391010046,29
gated_fusion_mlp,R_Amp_V2,0.021527102682739496,-0.003807214554399252,30
gated_fusion_mlp,T_DurFull_aVR,0.021386967971920967,-0.0025106091052293777,31
gated_fusion_mlp,QT_Int_V2,0.021365704014897346,0.004429929424077272,32
gated_fusion_mlp,T_Amp_V4,0.021095343865454197,0.002319842576980591,33
gated_fusion_mlp,S_Amp_II,0.020881280303001404,0.007687530014663935,34
gated_fusion_mlp,Q_Amp_V6,0.02082644682377577,0.004688275512307882,35
gated_fusion_mlp,S_Amp_V2_iqr,0.020770436525344847,-0.006750743649899959,36
gated_fusion_mlp,QT_IntCorr_V3,0.020670227706432343,-0.0044613853096961975,37
gated_fusion_mlp,HA__Global,0.019639576226472853,-0.004747905489057303,38
gated_fusion_mlp,P_Morph_aVL,0.019540127366781235,0.0009048419306054711,39
gated_fusion_mlp,T_Amp_V3,0.019439375028014183,0.002867525132993857,40
gated_fusion_mlp,P_Amp_aVL,0.019165915437042713,0.00028613838367164135,41
gated_fusion_mlp,T_Amp_V3_iqr,0.01894591252009074,-0.0029916884377598763,42
gated_fusion_mlp,R_Amp_III,0.01883972156792879,-0.002081578131765127,43
gated_fusion_mlp,T_Amp_V1,0.018791502341628075,-0.002181809499840407,44
gated_fusion_mlp,Q_Amp_III_iqr,0.01875054370611906,-0.015416542533785105,45
gated_fusion_mlp,Q_Amp_V3_iqr,0.018378060311079025,0.001595937181264162,46
gated_fusion_mlp,S_Amp_aVL_iqr,0.018163882195949554,-0.004275883082300425,47
gated_fusion_mlp,S_Amp_V3_iqr,0.017765138298273087,0.014635395258665085,48
gated_fusion_mlp,P_DurFull_V3,0.017759828362613916,-0.00044458697084337473,49
gated_fusion_mlp,QRS_Dur_aVF,0.01767752505838871,0.0137923089787364,50
gated_fusion_mlp,P_Amp_V4,0.017659866251051426,0.004002639092504978,51
gated_fusion_mlp,P_Amp_III,0.017516933381557465,0.002866715658456087,52
gated_fusion_mlp,T_Amp_aVF_iqr,0.01728463980058829,0.0062037693957487745,53
gated_fusion_mlp,P_Amp_aVL_iqr,0.01720496080815792,-0.014730210416018963,54
gated_fusion_mlp,T_DurFull_I,0.017169948667287827,-0.007153071463108063,55
gated_fusion_mlp,QRS_Dur_aVR_iqr,0.01707067098468542,-0.005425760801881552,56
gated_fusion_mlp,P_Amp_V3_iqr,0.016803850885480642,0.002755673136562109,57
gated_fusion_mlp,Q_Amp_aVF_iqr,0.01674601621925831,-0.010350687429308891,58
gated_fusion_mlp,Q_Amp_V3,0.016738484613597393,0.004107703090994619,59
gated_fusion_mlp,T_Amp_V2_iqr,0.016738175647333264,-0.0060563364531844854,60
gated_fusion_mlp,QRS_Dur_V2,0.016567464917898178,-0.004021023865789175,61
gated_fusion_mlp,R_Amp_V3,0.01632133685052395,0.006925148889422417,62
gated_fusion_mlp,QT_Int_V5_iqr,0.01621290948241949,-0.003399129801740249,63
gated_fusion_mlp,ST_Elev_V5_iqr,0.01618323614820838,-0.0018868681509047747,64
gated_fusion_mlp,T_DurFull_III_iqr,0.016181157901883125,-0.00769801065325737,65
gated_fusion_mlp,Q_Amp_III,0.015973294153809547,-0.003123330185189843,66
gated_fusion_mlp,ST_Elev_V1,0.01594150997698307,-0.008625867078080773,67
gated_fusion_mlp,T_DurFull_V2,0.015842234482988715,-0.002671436232049018,68
gated_fusion_mlp,Q_Amp_V1,0.015728401020169258,-0.0003180002386216074,69
gated_fusion_mlp,QRS_Dur_III,0.015483985655009747,-0.004068579990416765,70
gated_fusion_mlp,P_DurFull_V4,0.015459601767361164,0.006895566359162331,71
gated_fusion_mlp,ST_Elev_III_iqr,0.015431561507284641,0.008043241687119007,72
gated_fusion_mlp,T_Amp_aVF,0.015427501406520605,-0.0049888999201357365,73
gated_fusion_mlp,QRS_Dur_V1_iqr,0.015411436557769775,-0.005375360604375601,74
gated_fusion_mlp,T_DurFull_V2_iqr,0.015228576958179474,-0.0026527298614382744,75
gated_fusion_mlp,S_Amp_III_iqr,0.014982160646468401,-0.003800614271312952,76
gated_fusion_mlp,QT_Int_V6_iqr,0.014640199951827526,-0.006884327623993158,77
gated_fusion_mlp,R_Amp_V2_iqr,0.014592043124139309,-0.012939449399709702,78
gated_fusion_mlp,QRS_Dur_V6_iqr,0.014520173892378807,0.0020347408717498183,79
gated_fusion_mlp,QT_Int_Global_iqr,0.014356914907693863,-0.0081789530813694,80
gated_fusion_mlp,T_DurFull_V6,0.014317485503852367,-0.005982594797387719,81
gated_fusion_mlp,T_DurFull_V3,0.014247693121433258,-0.00408525625243783,82
gated_fusion_mlp,QRS_Dur_I_iqr,0.014172761235386133,0.0012793690257240087,83
gated_fusion_mlp,QT_IntCorr_V6,0.014115635305643082,-0.008636439451947808,84
gated_fusion_mlp,T_DurFull_V6_iqr,0.014030009197692076,-0.004100304252157609,85
gated_fusion_mlp,QT_Int_V6,0.013805128633975983,-0.006270377431064844,86
gated_fusion_mlp,PR_Int_I,0.013685883488506079,-0.0013752039521932602,87
gated_fusion_mlp,PR_Int_V3,0.013673498605688414,-0.00328656705096364,88
gated_fusion_mlp,QRS_Dur_Global_iqr,0.013622664846479893,0.003051823630812578,89
gated_fusion_mlp,QT_Int_I,0.01355519238859415,-0.0003949532110709697,90
gated_fusion_mlp,PR_Int_V2,0.013431765139102936,-0.0029541105323005468,91
gated_fusion_mlp,P_DurFull_V2_iqr,0.01335763931274414,0.010087015107274055,92
gated_fusion_mlp,PR_Int_aVF,0.01329931803047657,0.010207030922174454,93
gated_fusion_mlp,QT_IntCorr_V5_iqr,0.013120212281743685,0.0010065122817953427,94
gated_fusion_mlp,PQ_Int_aVF,0.013103963807225227,0.003529663779772818,95
gated_fusion_mlp,ST_Elev_V2,0.013094834052026272,-0.005312207620590925,96
gated_fusion_mlp,Q_Amp_aVL_iqr,0.013089952990412712,-0.010408515576273203,97
gated_fusion_mlp,Q_Amp_aVL,0.013083708472549915,-0.003343307413160801,98
gated_fusion_mlp,P_DurFull_III,0.01279585218677918,0.003309969149995595,99
gated_fusion_mlp,PQ_Int_I,0.012714344076812267,0.009953144006431103,100
gated_fusion_mlp,QT_IntCorr_V2_iqr,0.012691736221313477,-0.0008171282825060189,101
gated_fusion_mlp,QRS_Dur_aVL_iqr,0.012565878219902515,0.00618765689432621,102
gated_fusion_mlp,T_DurFull_aVL,0.012525635305792093,-0.003048187034437433,103
gated_fusion_mlp,P_DurFull_V1,0.01246283994987607,-0.0011264074128121138,104
gated_fusion_mlp,QRS_Dur_V4_iqr,0.01243564486503601,0.0015704664401710033,105
gated_fusion_mlp,QT_Int_V3_iqr,0.012311973609030247,-0.0027002673596143723,106
gated_fusion_mlp,QRS_Dur_aVF_iqr,0.012291892431676388,-0.007101438939571381,107
gated_fusion_mlp,ST_Elev_aVF,0.012149632908403873,0.004986263811588287,108
gated_fusion_mlp,P_DurFull_V5,0.012082751840353012,0.004321167711168528,109
gated_fusion_mlp,PQ_Int_V2,0.011614092625677586,-0.004568674601614475,110
gated_fusion_mlp,PR_Int_V1,0.011532681994140148,0.007590766530483961,111
gated_fusion_mlp,T_DurFull_aVL_iqr,0.011514034122228622,-0.0038737673312425613,112
gated_fusion_mlp,S_Amp_aVF_iqr,0.011374806053936481,0.010426162742078304,113
gated_fusion_mlp,P_DurFull_V1_iqr,0.011306439526379108,0.01093766838312149,114
gated_fusion_mlp,P_DurFull_V6_iqr,0.011303848586976528,-0.008696630597114563,115
gated_fusion_mlp,T_DurFull_V5,0.011300993151962757,-0.003650338388979435,116
gated_fusion_mlp,T_Amp_aVR,0.011245756410062313,-0.003565325168892741,117
gated_fusion_mlp,P_DurFull_V5_iqr,0.011026189662516117,0.0018092282116413116,118
gated_fusion_mlp,ST_Elev_V6_iqr,0.010999765247106552,0.003574710339307785,119
gated_fusion_mlp,P_DurFull_V2,0.010812316089868546,-0.0024375745560973883,120
gated_fusion_mlp,QT_Int_V2_iqr,0.010762077756226063,0.0011760053457692266,121
gated_fusion_mlp,T_Amp_I_iqr,0.010708538815379143,-0.007238473277539015,122
gated_fusion_mlp,P_DurFull_aVL_iqr,0.010445933789014816,-0.0016541434451937675,123
gated_fusion_mlp,QT_IntCorr_V4,0.010375911369919777,-0.006167455110698938,124
gated_fusion_mlp,T_Amp_aVL_iqr,0.010063515044748783,-0.009670446626842022,125
gated_fusion_mlp,PR_Int_V6,0.01003006100654602,0.008824997581541538,126
gated_fusion_mlp,PQ_Int_III,0.009952415712177753,0.0002785701653920114,127
structured_mlp,QRS_Dur_II,0.21592707931995392,-0.12166574597358704,1
structured_mlp,R_Amp_II,0.2090479165315628,-0.034268550621345636,2
structured_mlp,S_Amp_aVR,0.1962907314300537,-0.021559089422225952,3
structured_mlp,T_Amp_aVR,0.18968762271106243,-0.051277637016028166,4
structured_mlp,R_Amp_V5,0.18077058096726736,0.03634826218088468,5
structured_mlp,Q_Amp_V3,0.16878274828195572,0.014552533626556396,6
structured_mlp,PQ_Int_V1,0.16851749829947948,0.05072103347629309,7
structured_mlp,R_Amp_aVL,0.16284919437021017,-0.03697779797948897,8
structured_mlp,QRS_Dur_V1,0.15438644091288248,0.011136880765358606,9
structured_mlp,R_Amp_III,0.1540958946570754,-0.025232523723389022,10
structured_mlp,Q_Amp_aVF,0.15211333086093268,0.034402620047330856,11
structured_mlp,R_Amp_V1,0.14756086841225624,0.05183940567076206,12
structured_mlp,PQ_Int_aVL,0.14586609601974487,0.017839085310697556,13
