feature,n_pairs,official_nonmissing,recomputed_nonmissing,mean_abs_error,median_abs_error,max_abs_error,allclose_atol_1e_6,base_feature,location,summary_statistic
PQ_Int_aVL,3,3,3,28.75324675324676,29.090909090909093,37.71428571428572,False,PQ_Int,aVL,mean
PQ_Int_aVL_iqr,3,3,3,18.333333333333332,17.0,31.0,False,PQ_Int,aVL,iqr
PQ_Int_aVL_count,3,3,3,0.0,0.0,0.0,True,PQ_Int,aVL,count
PQ_Int_aVR,3,3,3,12.476190476190473,11.428571428571416,16.545454545454533,False,PQ_Int,aVR,mean
PQ_Int_aVR_iqr,3,3,3,17.333333333333332,14.0,25.0,False,PQ_Int,aVR,iqr
PQ_Int_aVR_count,3,3,3,0.0,0.0,0.0,True,PQ_Int,aVR,count
PQ_Int_Global,3,3,3,27.734199134199127,27.80000000000001,44.85714285714283,False,PQ_Int,Global,mean
PQ_Int_Global_iqr,3,3,3,14.5,10.0,24.0,False,PQ_Int,Global,iqr
PQ_Int_Global_count,3,3,3,0.0,0.0,0.0,True,PQ_Int,Global,count
PR_Int_I,3,3,3,21.14285714285714,7.0909090909090935,54.90909090909091,False,PR_Int,I,mean
PR_Int_I_iqr,3,3,3,17.333333333333332,10.0,41.0,False,PR_Int,I,iqr
PR_Int_I_count,3,3,3,0.0,0.0,0.0,True,PR_Int,I,count
PR_Int_II,3,3,3,25.83549783549783,21.818181818181813,46.54545454545453,False,PR_Int,II,mean
PR_Int_II_iqr,3,3,3,16.0,4.0,43.0,False,PR_Int,II,iqr
PR_Int_II_count,3,3,3,0.0,0.0,0.0,True,PR_Int,II,count
PR_Int_III,3,3,3,11.385281385281388,11.27272727272728,15.428571428571445,False,PR_Int,III,mean
PR_Int_III_iqr,3,3,3,3.3333333333333335,4.0,5.0,False,PR_Int,III,iqr
PR_Int_III_count,3,3,3,0.0,0.0,0.0,True,PR_Int,III,count
PR_Int_V1,3,3,3,16.30303030303031,20.0,20.363636363636378,False,PR_Int,V1,mean
PR_Int_V1_iqr,3,3,3,20.333333333333332,23.0,28.0,False,PR_Int,V1,iqr
PR_Int_V1_count,3,3,3,0.0,0.0,0.0,True,PR_Int,V1,count
PR_Int_V2,3,3,3,20.7965367965368,26.545454545454533,27.27272727272728,False,PR_Int,V2,mean
PR_Int_V2_iqr,3,3,3,26.666666666666668,28.0,52.0,False,PR_Int,V2,iqr
PR_Int_V2_count,3,3,3,0.0,0.0,0.0,True,PR_Int,V2,count
PR_Int_V3,3,3,3,14.61471861471862,13.27272727272728,26.0,False,PR_Int,V3,mean
PR_Int_V3_iqr,3,3,3,8.333333333333334,0.0,25.0,False,PR_Int,V3,iqr
PR_Int_V3_count,3,3,3,0.0,0.0,0.0,True,PR_Int,V3,count
PR_Int_V4,3,3,3,13.870129870129867,5.428571428571416,32.18181818181819,False,PR_Int,V4,mean
PR_Int_V4_iqr,3,3,3,20.666666666666668,28.0,33.0,False,PR_Int,V4,iqr
PR_Int_V4_count,3,3,3,0.0,0.0,0.0,True,PR_Int,V4,count
PR_Int_V5,3,3,3,16.848484848484855,14.0,35.45454545454547,False,PR_Int,V5,mean
PR_Int_V5_iqr,3,3,3,12.0,3.0,33.0,False,PR_Int,V5,iqr
PR_Int_V5_count,3,3,3,0.0,0.0,0.0,True,PR_Int,V5,count
PR_Int_V6,3,3,3,14.363636363636363,19.27272727272728,22.0,False,PR_Int,V6,mean
PR_Int_V6_iqr,3,3,3,11.0,8.0,25.0,False,PR_Int,V6,iqr
PR_Int_V6_count,3,3,3,0.0,0.0,0.0,True,PR_Int,V6,count
PR_Int_aVF,3,3,3,35.35064935064937,22.181818181818187,63.14285714285717,False,PR_Int,aVF,mean
PR_Int_aVF_iqr,3,3,3,14.0,10.0,23.0,False,PR_Int,aVF,iqr
PR_Int_aVF_count,3,3,3,0.0,0.0,0.0,True,PR_Int,aVF,count
PR_Int_aVL,3,3,3,29.31601731601731,30.363636363636378,36.85714285714283,False,PR_Int,aVL,mean
PR_Int_aVL_iqr,3,3,3,19.0,22.0,27.0,False,PR_Int,aVL,iqr
PR_Int_aVL_count,3,3,3,0.0,0.0,0.0,True,PR_Int,aVL,count
PR_Int_aVR,3,3,3,13.255411255411255,10.85714285714286,18.363636363636378,False,PR_Int,aVR,mean
PR_Int_aVR_iqr,3,3,3,17.333333333333332,17.0,23.0,False,PR_Int,aVR,iqr
PR_Int_aVR_count,3,3,3,0.0,0.0,0.0,True,PR_Int,aVR,count
PR_Int_Global,3,3,3,29.19740259740261,27.80000000000001,47.428571428571445,False,PR_Int,Global,mean
PR_Int_Global_iqr,3,3,3,15.666666666666666,10.0,27.0,False,PR_Int,Global,iqr
PR_Int_Global_count,3,3,3,0.0,0.0,0.0,True,PR_Int,Global,count
P_Amp_I,3,3,3,0.0402469515338452,0.0388906511715043,0.0530054394398708,False,P_Amp,I,mean
P_Amp_I_iqr,3,3,3,0.0273794504447724,0.0337818895883637,0.0473806149314113,False,P_Amp,I,iqr
P_Amp_I_count,3,3,3,0.0,0.0,0.0,True,P_Amp,I,count
P_Amp_II,3,3,3,0.0235352207281732,0.0297883159145805,0.0300330183272331,False,P_Amp,II,mean
P_Amp_II_iqr,3,3,3,0.1037763660080395,0.0971185463263622,0.1905613427111133,False,P_Amp,II,iqr
P_Amp_II_count,3,3,3,0.0,0.0,0.0,True,P_Amp,II,count
P_Amp_III,3,3,3,0.0181422690016883,0.0167421396348134,0.0358035132311534,False,P_Amp,III,mean
P_Amp_III_iqr,3,3,3,0.0920241206835894,0.1063104040351285,0.1405383872385924,False,P_Amp,III,iqr
P_Amp_III_count,3,3,3,0.0,0.0,0.0,True,P_Amp,III,count
P_Amp_V1,3,3,3,0.0324189483158928,0.0241176671036206,0.0649050991045763,False,P_Amp,V1,mean
P_Amp_V1_iqr,3,3,3,0.0269779581984701,0.0228984123937444,0.053392748856716,False,P_Amp,V1,iqr
P_Amp_V1_count,3,3,3,0.0,0.0,0.0,True,P_Amp,V1,count
P_Amp_V2,3,3,3,0.0467525722290377,0.0220542453630589,0.1000342215619955,False,P_Amp,V2,mean
P_Amp_V2_iqr,3,3,3,0.0450671136025565,0.0630651362086815,0.0639774086896893,False,P_Amp,V2,iqr
P_Amp_V2_count,3,3,3,0.0,0.0,0.0,True,P_Amp,V2,count
P_Amp_V3,3,3,3,0.0452977210730624,0.0565865220391592,0.0592897294727701,False,P_Amp,V3,mean
P_Amp_V3_iqr,3,3,3,0.0536360657579855,0.0377083883802579,0.1051149553348425,False,P_Amp,V3,iqr
P_Amp_V3_count,3,3,3,0.0,0.0,0.0,True,P_Amp,V3,count
P_Amp_V4,3,3,3,0.0527306286064704,0.0418368166628428,0.0902146606503273,False,P_Amp,V4,mean
P_Amp_V4_iqr,3,3,3,0.0595734717926328,0.0389882717631947,0.1337644032843127,False,P_Amp,V4,iqr
P_Amp_V4_count,3,3,3,0.0,0.0,0.0,True,P_Amp,V4,count
P_Amp_V5,3,3,3,0.0220947709727262,0.0169170699269531,0.0343412858144304,False,P_Amp,V5,mean
P_Amp_V5_iqr,3,3,3,0.0488902641164025,0.0357772356470507,0.0862365398081066,False,P_Amp,V5,iqr
P_Amp_V5_count,3,3,3,0.0,0.0,0.0,True,P_Amp,V5,count
P_Amp_V6,3,3,3,0.0143622108254533,0.0030385512545012,0.0396092608385171,False,P_Amp,V6,mean
P_Amp_V6_iqr,3,3,3,0.0633012490717369,0.0615743000740991,0.0732754036792364,False,P_Amp,V6,iqr
P_Amp_V6_count,3,3,3,0.0,0.0,0.0,True,P_Amp,V6,count
P_Amp_aVF,3,3,3,0.0521151982831185,0.0334844042593338,0.0940749574629939,False,P_Amp,aVF,mean
P_Amp_aVF_iqr,3,3,3,0.0927180283878678,0.1212283536233418,0.1231513383993005,False,P_Amp,aVF,iqr
P_Amp_aVF_count,3,3,3,0.0,0.0,0.0,True,P_Amp,aVF,count
P_Amp_aVL,3,3,3,0.0344245908001658,0.03542381894387,0.03646487732508,False,P_Amp,aVL,mean
P_Amp_aVL_iqr,3,3,3,0.0741926848754078,0.0630657398676713,0.1254629313443636,False,P_Amp,aVL,iqr
P_Amp_aVL_count,3,3,3,0.0,0.0,0.0,True,P_Amp,aVL,count
P_Amp_aVR,3,3,3,0.0152586355940285,0.0153739182733878,0.0193144866726559,False,P_Amp,aVR,mean
P_Amp_aVR_iqr,3,3,3,0.0563009993106312,0.0599696994774167,0.0771893138802704,False,P_Amp,aVR,iqr
P_Amp_aVR_count,3,3,3,0.0,0.0,0.0,True,P_Amp,aVR,count
P_DurFull_I,3,3,3,17.670995670995676,9.27272727272728,39.45454545454547,False,P_DurFull,I,mean
P_DurFull_I_iqr,3,3,3,19.0,14.0,42.0,False,P_DurFull,I,iqr
P_DurFull_I_count,3,3,3,0.0,0.0,0.0,True,P_DurFull,I,count
P_DurFull_II,3,3,3,19.636363636363637,20.363636363636378,28.545454545454533,False,P_DurFull,II,mean
P_DurFull_II_iqr,3,3,3,20.0,18.0,32.0,False,P_DurFull,II,iqr
P_DurFull_II_count,3,3,3,0.0,0.0,0.0,True,P_DurFull,II,count
P_DurFull_III,3,3,3,4.658008658008659,1.4545454545454677,11.090909090909092,False,P_DurFull,III,mean
P_DurFull_III_iqr,3,3,3,9.0,6.0,16.0,False,P_DurFull,III,iqr
P_DurFull_III_count,3,3,3,0.0,0.0,0.0,True,P_DurFull,III,count
P_DurFull_V1,3,3,3,14.78787878787879,19.27272727272728,20.0,False,P_DurFull,V1,mean
P_DurFull_V1_iqr,3,3,3,5.666666666666667,6.0,6.0,False,P_DurFull,V1,iqr
P_DurFull_V1_count,3,3,3,0.0,0.0,0.0,True,P_DurFull,V1,count
P_DurFull_V2,3,3,3,13.23809523809524,9.27272727272728,24.72727272727272,False,P_DurFull,V2,mean
P_DurFull_V2_iqr,3,3,3,18.666666666666668,19.0,33.0,False,P_DurFull,V2,iqr
P_DurFull_V2_count,3,3,3,0.0,0.0,0.0,True,P_DurFull,V2,count
P_DurFull_V3,3,3,3,15.21212121212121,8.0,30.909090909090907,False,P_DurFull,V3,mean
P_DurFull_V3_iqr,3,3,3,10.333333333333334,1.0,30.0,False,P_DurFull,V3,iqr
P_DurFull_V3_count,3,3,3,0.0,0.0,0.0,True,P_DurFull,V3,count
P_DurFull_V4,3,3,3,21.87012987012987,17.27272727272728,47.428571428571416,False,P_DurFull,V4,mean
P_DurFull_V4_iqr,3,3,3,23.333333333333332,27.0,43.0,False,P_DurFull,V4,iqr
P_DurFull_V4_count,3,3,3,0.0,0.0,0.0,True,P_DurFull,V4,count
P_DurFull_V5,3,3,3,14.10389610389611,4.857142857142861,35.27272727272728,False,P_DurFull,V5,mean
P_DurFull_V5_iqr,3,3,3,10.666666666666666,2.0,30.0,False,P_DurFull,V5,iqr
P_DurFull_V5_count,3,3,3,0.0,0.0,0.0,True,P_DurFull,V5,count
P_DurFull_V6,3,3,3,8.718614718614711,0.5454545454545325,25.428571428571416,False,P_DurFull,V6,mean
P_DurFull_V6_iqr,3,3,3,16.666666666666668,22.0,24.0,False,P_DurFull,V6,iqr
P_DurFull_V6_count,3,3,3,0.0,0.0,0.0,True,P_DurFull,V6,count
P_DurFull_aVF,3,3,3,12.20779220779221,13.714285714285722,16.181818181818187,False,P_DurFull,aVF,mean
P_DurFull_aVF_iqr,3,3,3,25.333333333333332,23.0,32.0,False,P_DurFull,aVF,iqr
P_DurFull_aVF_count,3,3,3,0.0,0.0,0.0,True,P_DurFull,aVF,count
P_DurFull_aVL,3,3,3,15.72294372294373,15.714285714285722,27.454545454545467,False,P_DurFull,aVL,mean
P_DurFull_aVL_iqr,3,3,3,12.0,12.0,18.0,False,P_DurFull,aVL,iqr
P_DurFull_aVL_count,3,3,3,0.0,0.0,0.0,True,P_DurFull,aVL,count
P_DurFull_aVR,3,3,3,12.372294372294382,10.571428571428584,16.181818181818187,False,P_DurFull,aVR,mean
P_DurFull_aVR_iqr,3,3,3,14.666666666666666,20.0,21.0,False,P_DurFull,aVR,iqr
P_DurFull_aVR_count,3,3,3,0.0,0.0,0.0,True,P_DurFull,aVR,count
P_Dur_Global,3,3,3,31.76363636363636,32.19999999999999,54.0,False,P_Dur,Global,mean
P_Dur_Global_iqr,3,3,3,25.333333333333332,27.0,41.0,False,P_Dur,Global,iqr
P_Dur_Global_count,3,3,3,0.0,0.0,0.0,True,P_Dur,Global,count
Q_Amp_I,3,3,3,0.0192089941802595,0.0084039003371228,0.0422994540714303,False,Q_Amp,I,mean
Q_Amp_I_iqr,3,3,3,0.0345749807088982,0.0295300094995908,0.0590919425842751,False,Q_Amp,I,iqr
Q_Amp_I_count,3,3,3,0.0,0.0,0.0,True,Q_Amp,I,count
Q_Amp_II,3,3,3,0.0304378794143184,0.0282610263624385,0.0444975835259375,False,Q_Amp,II,mean
Q_Amp_II_iqr,3,3,3,0.1064167355304346,0.0528409477679418,0.2195727672772954,False,Q_Amp,II,iqr
Q_Amp_II_count,3,3,3,0.0,0.0,0.0,True,Q_Amp,II,count
Q_Amp_III,3,3,3,0.0418505494749114,0.0525976757244317,0.0593575630039178,False,Q_Amp,III,mean
Q_Amp_III_iqr,3,3,3,0.1160829469876024,0.1500571545591217,0.1603316428678574,False,Q_Amp,III,iqr
Q_Amp_III_count,3,3,3,0.0,0.0,0.0,True,Q_Amp,III,count
Q_Amp_V1,3,3,3,0.022072567240916,0.0195962786974147,0.0453049984694331,False,Q_Amp,V1,mean
Q_Amp_V1_iqr,3,3,3,0.0241316038871528,0.0173010125464478,0.0496769285485232,False,Q_Amp,V1,iqr
Q_Amp_V1_count,3,3,3,0.0,0.0,0.0,True,Q_Amp,V1,count
Q_Amp_V2,3,3,3,0.025023549148017,0.0054242197019936,0.0664472521944904,False,Q_Amp,V2,mean
Q_Amp_V2_iqr,3,3,3,0.0382165141668659,0.0370568443715237,0.0533646725313812,False,Q_Amp,V2,iqr
Q_Amp_V2_count,3,3,3,0.0,0.0,0.0,True,Q_Amp,V2,count
Q_Amp_V3,3,3,3,0.0617643001435862,0.055621791992088,0.0931540252037467,False,Q_Amp,V3,mean
Q_Amp_V3_iqr,3,3,3,0.066790940757527,0.0268948384387006,0.1516229589054473,False,Q_Amp,V3,iqr
Q_Amp_V3_count,3,3,3,0.0,0.0,0.0,True,Q_Amp,V3,count
Q_Amp_V4,3,3,3,0.656533569463167,0.036043900907509,1.9264463100564249,False,Q_Amp,V4,mean
Q_Amp_V4_iqr,3,3,3,0.0186930779137436,0.0120790629649577,0.0324037428097493,False,Q_Amp,V4,iqr
Q_Amp_V4_count,3,3,3,0.0,0.0,0.0,True,Q_Amp,V4,count
Q_Amp_V5,3,3,3,0.0408263421460029,0.0293876188247883,0.0921679584959565,False,Q_Amp,V5,mean
Q_Amp_V5_iqr,3,3,3,0.0214970935960438,0.0179772257956217,0.0379359934170898,False,Q_Amp,V5,iqr
Q_Amp_V5_count,3,3,3,0.0,0.0,0.0,True,Q_Amp,V5,count
Q_Amp_V6,3,3,3,0.0327068912705046,0.0321860708720136,0.0638209587345455,False,Q_Amp,V6,mean
Q_Amp_V6_iqr,3,3,3,0.0523921906363456,0.0429238810901045,0.0774641619083339,False,Q_Amp,V6,iqr
Q_Amp_V6_count,3,3,3,0.0,0.0,0.0,True,Q_Amp,V6,count
Q_Amp_aVF,3,3,3,0.0516074736627176,0.048872778772148,0.1022018509600971,False,Q_Amp,aVF,mean
Q_Amp_aVF_iqr,3,3,3,0.1219899383166632,0.0849978622279139,0.2412568629810767,False,Q_Amp,aVF,iqr
Q_Amp_aVF_count,3,3,3,0.0,0.0,0.0,True,Q_Amp,aVF,count
Q_Amp_aVL,3,3,3,0.0512236267466408,0.0593995393210243,0.0610705487015142,False,Q_Amp,aVL,mean
Q_Amp_aVL_iqr,3,3,3,0.0213379944964394,0.0209451981913637,0.0248297209364597,False,Q_Amp,aVL,iqr
Q_Amp_aVL_count,3,3,3,0.0,0.0,0.0,True,Q_Amp,aVL,count
Q_Amp_aVR,3,3,3,0.0190105295762378,0.0243781649469145,0.0287906549600955,False,Q_Amp,aVR,mean
Q_Amp_aVR_iqr,3,3,3,0.0541814263689331,0.0353108579765203,0.1123790266100731,False,Q_Amp,aVR,iqr
Q_Amp_aVR_count,3,3,3,0.0,0.0,0.0,True,Q_Amp,aVR,count
QRS_Dur_I,3,3,3,0.7359307359307365,0.5714285714285694,1.6363636363636402,False,QRS_Dur,I,mean
QRS_Dur_I_iqr,3,3,3,2.0,2.0,4.0,False,QRS_Dur,I,iqr
QRS_Dur_I_count,3,3,3,0.0,0.0,0.0,True,QRS_Dur,I,count
QRS_Dur_II,3,3,3,2.2510822510822472,0.9090909090909064,5.272727272727266,False,QRS_Dur,II,mean
QRS_Dur_II_iqr,3,3,3,1.3333333333333333,1.0,3.0,False,QRS_Dur,II,iqr
QRS_Dur_II_count,3,3,3,0.0,0.0,0.0,True,QRS_Dur,II,count
QRS_Dur_III,3,3,3,1.428571428571426,0.9090909090909064,3.0909090909090935,False,QRS_Dur,III,mean
QRS_Dur_III_iqr,3,3,3,10.0,4.0,24.0,False,QRS_Dur,III,iqr
QRS_Dur_III_count,3,3,3,0.0,0.0,0.0,True,QRS_Dur,III,count
QRS_Dur_V1,3,3,3,0.3722943722943768,0.3636363636363597,0.5714285714285836,False,QRS_Dur,V1,mean
QRS_Dur_V1_iqr,3,3,3,1.0,1.0,2.0,False,QRS_Dur,V1,iqr
QRS_Dur_V1_count,3,3,3,0.0,0.0,0.0,True,QRS_Dur,V1,count
QRS_Dur_V2,3,3,3,4.883116883116884,3.2727272727272805,10.285714285714278,False,QRS_Dur,V2,mean
QRS_Dur_V2_iqr,3,3,3,7.0,4.0,15.0,False,QRS_Dur,V2,iqr
QRS_Dur_V2_count,3,3,3,0.0,0.0,0.0,True,QRS_Dur,V2,count
QRS_Dur_V3,3,3,3,4.493506493506492,4.5454545454545325,6.571428571428584,False,QRS_Dur,V3,mean
QRS_Dur_V3_iqr,3,3,3,3.6666666666666665,5.0,5.0,False,QRS_Dur,V3,iqr
QRS_Dur_V3_count,3,3,3,0.0,0.0,0.0,True,QRS_Dur,V3,count
QRS_Dur_V4,3,3,3,4.0,2.5454545454545467,8.0,False,QRS_Dur,V4,mean
QRS_Dur_V4_iqr,3,3,3,1.0,1.0,1.0,False,QRS_Dur,V4,iqr
QRS_Dur_V4_count,3,3,3,0.0,0.0,0.0,True,QRS_Dur,V4,count
QRS_Dur_V5,3,3,3,0.4242424242424268,0.3636363636363739,0.9090909090909064,False,QRS_Dur,V5,mean
QRS_Dur_V5_iqr,3,3,3,1.6666666666666667,2.0,3.0,False,QRS_Dur,V5,iqr
QRS_Dur_V5_count,3,3,3,0.0,0.0,0.0,True,QRS_Dur,V5,count
QRS_Dur_V6,3,3,3,2.2943722943722995,1.4285714285714306,5.4545454545454675,False,QRS_Dur,V6,mean
QRS_Dur_V6_iqr,3,3,3,0.6666666666666666,0.0,2.0,False,QRS_Dur,V6,iqr
QRS_Dur_V6_count,3,3,3,0.0,0.0,0.0,True,QRS_Dur,V6,count
QRS_Dur_aVF,3,3,3,4.891774891774896,5.4545454545454675,6.36363636363636,False,QRS_Dur,aVF,mean
QRS_Dur_aVF_iqr,3,3,3,0.3333333333333333,0.0,1.0,False,QRS_Dur,aVF,iqr
QRS_Dur_aVF_count,3,3,3,0.0,0.0,0.0,True,QRS_Dur,aVF,count
QRS_Dur_aVL,3,3,3,0.6493506493506516,0.8571428571428612,0.9090909090909064,False,QRS_Dur,aVL,mean
QRS_Dur_aVL_iqr,3,3,3,2.6666666666666665,3.0,5.0,False,QRS_Dur,aVL,iqr
QRS_Dur_aVL_count,3,3,3,0.0,0.0,0.0,True,QRS_Dur,aVL,count
QRS_Dur_aVR,3,3,3,1.6709956709956753,0.7272727272727337,4.0,False,QRS_Dur,aVR,mean
QRS_Dur_aVR_iqr,3,3,3,1.3333333333333333,1.0,2.0,False,QRS_Dur,aVR,iqr
QRS_Dur_aVR_count,3,3,3,0.0,0.0,0.0,True,QRS_Dur,aVR,count
QRS_Dur_Global,3,3,3,4.995670995671001,3.7142857142857224,7.818181818181813,False,QRS_Dur,Global,mean
QRS_Dur_Global_iqr,3,3,3,13.666666666666666,18.0,20.0,False,QRS_Dur,Global,iqr
QRS_Dur_Global_count,3,3,3,0.0,0.0,0.0,True,QRS_Dur,Global,count
QT_IntFramingham_Global,3,3,3,67.72820779220784,86.87309090909099,103.32181818181824,False,QT_IntFramingham,Global,mean
QT_IntFramingham_Global_iqr,3,3,3,38.85449999999994,35.34149999999995,56.9665,False,QT_IntFramingham,Global,iqr
QT_IntFramingham_Global_count,3,3,3,1.0,1.0,1.0,False,QT_IntFramingham,Global,count
QT_Int_I,3,3,3,63.402597402597394,47.636363636363626,104.0,False,QT_Int,I,mean
QT_Int_I_iqr,3,3,3,45.333333333333336,51.0,59.0,False,QT_Int,I,iqr
QT_Int_I_count,3,3,3,0.0,0.0,0.0,True,QT_Int,I,count
QT_Int_II,3,3,3,56.96103896103896,65.42857142857144,89.45454545454544,False,QT_Int,II,mean
QT_Int_II_iqr,3,3,3,43.666666666666664,44.0,78.0,False,QT_Int,II,iqr
QT_Int_II_count,3,3,3,0.0,0.0,0.0,True,QT_Int,II,count
QT_Int_III,3,3,3,216.6060606060606,210.72727272727275,326.0,False,QT_Int,III,mean
QT_Int_III_iqr,3,3,3,35.666666666666664,39.0,48.0,False,QT_Int,III,iqr
QT_Int_III_count,3,3,3,0.0,0.0,0.0,True,QT_Int,III,count
QT_Int_V1,3,3,3,48.04329004329005,18.857142857142833,108.54545454545456,False,QT_Int,V1,mean
QT_Int_V1_iqr,3,3,3,44.666666666666664,39.0,57.0,False,QT_Int,V1,iqr
QT_Int_V1_count,3,3,3,0.0,0.0,0.0,True,QT_Int,V1,count
QT_Int_V2,3,3,3,53.35064935064937,35.14285714285717,122.54545454545456,False,QT_Int,V2,mean
QT_Int_V2_iqr,3,3,3,37.0,36.0,75.0,False,QT_Int,V2,iqr
QT_Int_V2_count,3,3,3,0.0,0.0,0.0,True,QT_Int,V2,count
QT_Int_V3,3,3,3,9.082251082251084,10.181818181818189,15.636363636363626,False,QT_Int,V3,mean
QT_Int_V3_iqr,3,3,3,23.0,20.0,45.0,False,QT_Int,V3,iqr
QT_Int_V3_count,3,3,3,0.0,0.0,0.0,True,QT_Int,V3,count
QT_Int_V4,3,3,3,29.81818181818183,2.727272727272748,84.0,False,QT_Int,V4,mean
QT_Int_V4_iqr,3,3,3,63.333333333333336,78.0,112.0,False,QT_Int,V4,iqr
QT_Int_V4_count,3,3,3,0.0,0.0,0.0,True,QT_Int,V4,count
QT_Int_V5,3,3,3,63.87012987012986,91.42857142857144,95.09090909090908,False,QT_Int,V5,mean
QT_Int_V5_iqr,3,3,3,12.0,12.0,18.0,False,QT_Int,V5,iqr
QT_Int_V5_count,3,3,3,0.0,0.0,0.0,True,QT_Int,V5,count
QT_Int_V6,3,3,3,19.506493506493506,7.090909090909065,49.428571428571445,False,QT_Int,V6,mean
QT_Int_V6_iqr,3,3,3,30.666666666666668,20.0,70.0,False,QT_Int,V6,iqr
QT_Int_V6_count,3,3,3,0.0,0.0,0.0,True,QT_Int,V6,count
QT_Int_aVF,3,3,3,96.85714285714285,104.90909090909092,160.57142857142856,False,QT_Int,aVF,mean
QT_Int_aVF_iqr,3,3,3,59.0,31.0,138.0,False,QT_Int,aVF,iqr
QT_Int_aVF_count,3,3,3,0.0,0.0,0.0,True,QT_Int,aVF,count
QT_Int_aVL,3,3,3,142.44155844155844,116.54545454545456,211.14285714285717,False,QT_Int,aVL,mean
QT_Int_aVL_iqr,3,3,3,27.333333333333332,11.0,69.0,False,QT_Int,aVL,iqr
QT_Int_aVL_count,3,3,3,0.0,0.0,0.0,True,QT_Int,aVL,count
QT_Int_aVR,3,3,3,39.03896103896102,49.090909090909065,50.571428571428555,False,QT_Int,aVR,mean
QT_Int_aVR_iqr,3,3,3,48.666666666666664,51.0,62.0,False,QT_Int,aVR,iqr
QT_Int_aVR_count,3,3,3,0.0,0.0,0.0,True,QT_Int,aVR,count
QT_Int_Global,3,3,3,67.79220779220782,82.90909090909093,94.1818181818182,False,QT_Int,Global,mean
QT_Int_Global_iqr,3,3,3,61.666666666666664,40.0,113.0,False,QT_Int,Global,iqr
QT_Int_Global_count,3,3,3,0.0,0.0,0.0,True,QT_Int,Global,count
R_Amp_I,3,3,3,0.0321675800418525,0.0124966902599892,0.0717890843116928,False,R_Amp,I,mean
R_Amp_I_iqr,3,3,3,0.0460185414714073,0.0334995706115385,0.0781327238807102,False,R_Amp,I,iqr
R_Amp_I_count,3,3,3,0.0,0.0,0.0,True,R_Amp,I,count
