model_name,probability_mode,split,threshold,macro_net_benefit,macro_treat_all_net_benefit,macro_treat_none_net_benefit,macro_net_benefit_vs_treat_all,macro_net_benefit_vs_treat_none,analysis_subset
strong_signal_only,temperature_scaled,test,0.29,0.17925021656132695,-0.06131091789919474,0.0,0.2405611344605217,0.17925021656132695,retained_80_coverage
strong_signal_only,temperature_scaled,test,0.3,0.17809957696062478,-0.07647250244061182,0.0,0.2545720794012366,0.17809957696062478,retained_80_coverage
strong_signal_only,temperature_scaled,test,0.31,0.17683635403255094,-0.09207355320062069,0.0,0.26890990723317165,0.17683635403255094,retained_80_coverage
strong_signal_only,temperature_scaled,test,0.32,0.1754723301621332,-0.10813345839474746,0.0,0.2836057885568807,0.1754723301621332,retained_80_coverage
strong_signal_only,temperature_scaled,test,0.33,0.1742120830925101,-0.12467276374392285,0.0,0.29888484683643296,0.1742120830925101,retained_80_coverage
strong_signal_only,temperature_scaled,test,0.34,0.17282736246289776,-0.14171326016428532,0.0,0.3145406226271831,0.17282736246289776,retained_80_coverage
strong_signal_only,temperature_scaled,test,0.35,0.17036972139477835,-0.1592780795514281,0.0,0.3296478009462064,0.17036972139477835,retained_80_coverage
strong_signal_only,temperature_scaled,test,0.36,0.16892084282460137,-0.17739179954441914,0.0,0.3463126423690205,0.16892084282460137,retained_80_coverage
strong_signal_only,temperature_scaled,test,0.37,0.1676392956575189,-0.19608055826734644,0.0,0.36371985392486533,0.1676392956575189,retained_80_coverage
strong_signal_only,temperature_scaled,test,0.38,0.16642295539716362,-0.2153721801748843,0.0,0.381795135572048,0.16642295539716362,retained_80_coverage
strong_signal_only,temperature_scaled,test,0.39,0.16530116882631912,-0.23529631427611192,0.0,0.4005974831024311,0.16530116882631912,retained_80_coverage
strong_signal_only,temperature_scaled,test,0.4,0.16378132118451022,-0.25588458618071386,0.0,0.419665907365224,0.16378132118451022,retained_80_coverage
strong_signal_only,temperature_scaled,test,0.41,0.16154588625921779,-0.2771707656075054,0.0,0.43871665186672326,0.16154588625921779,retained_80_coverage
strong_signal_only,temperature_scaled,test,0.42,0.15969287565784307,-0.29919095122142797,0.0,0.458883826879271,0.15969287565784307,retained_80_coverage
strong_signal_only,temperature_scaled,test,0.43,0.15824241697638172,-0.32198377492706703,0.0,0.48022619190344873,0.15824241697638172,retained_80_coverage
strong_signal_only,temperature_scaled,test,0.44,0.15662219329645297,-0.3455906280507648,0.0,0.5022128213472177,0.15662219329645297,retained_80_coverage
strong_signal_only,temperature_scaled,test,0.45,0.15445226755021743,-0.37005591219714223,0.0,0.5245081797473597,0.15445226755021743,retained_80_coverage
