model_name,probability_mode,split,threshold,macro_net_benefit,macro_treat_all_net_benefit,macro_treat_none_net_benefit,macro_net_benefit_vs_treat_all,macro_net_benefit_vs_treat_none
gated_fusion_mlp,temperature_scaled,test,0.02,0.2418376631817422,0.23882564854877347,0.0,0.0030120146329687485,0.2418376631817422
gated_fusion_mlp,temperature_scaled,test,0.03,0.23740982899167942,0.23097849028638967,0.0,0.006431338705289733,0.23740982899167942
gated_fusion_mlp,temperature_scaled,test,0.04,0.23337882923870185,0.22296784956020624,0.0,0.010410979678495616,0.23337882923870185
gated_fusion_mlp,temperature_scaled,test,0.05,0.22986447009242852,0.21478856376610317,0.0,0.015075906326325366,0.22986447009242852
gated_fusion_mlp,temperature_scaled,test,0.06,0.2265696087352138,0.2064352506146787,0.0,0.02013435812053512,0.2265696087352138
gated_fusion_mlp,temperature_scaled,test,0.07,0.2231686675080963,0.1979022963202129,0.0,0.025266371187883406,0.2231686675080963
gated_fusion_mlp,temperature_scaled,test,0.08,0.22007358468172647,0.18918384301934565,0.0,0.030889741662380826,0.22007358468172647
gated_fusion_mlp,temperature_scaled,test,0.09,0.2178593926546611,0.18027377536021758,0.0,0.037585617294443506,0.2178593926546611
gated_fusion_mlp,temperature_scaled,test,0.1,0.21478111414417148,0.1711657061975533,0.0,0.04361540794661816,0.21478111414417148
gated_fusion_mlp,temperature_scaled,test,0.11,0.21248428090910018,0.16185296132336854,0.0,0.05063131958573166,0.21248428090910018
gated_fusion_mlp,temperature_scaled,test,0.12,0.21079080155513275,0.15232856315658863,0.0,0.05846223839854412,0.21079080155513275
gated_fusion_mlp,temperature_scaled,test,0.13,0.20768619330007426,0.14258521330781376,0.0,0.06510097999226049,0.20768619330007426
gated_fusion_mlp,temperature_scaled,test,0.14,0.205357936390376,0.13261527392767208,0.0,0.07274266246270394,0.205357936390376
gated_fusion_mlp,temperature_scaled,test,0.15,0.20321147567307177,0.12241074773858587,0.0,0.08080072793448592,0.20321147567307177
gated_fusion_mlp,temperature_scaled,test,0.16,0.20139520776463452,0.11196325664023568,0.0,0.08943195112439883,0.20139520776463452
gated_fusion_mlp,temperature_scaled,test,0.17,0.19899031978688184,0.1012640187684313,0.0,0.09772630101845055,0.19899031978688184
gated_fusion_mlp,temperature_scaled,test,0.18,0.19669544375152576,0.09030382387536343,0.0,0.10639161987616234,0.19669544375152576
gated_fusion_mlp,temperature_scaled,test,0.19,0.19424167874274031,0.07907300688617037,0.0,0.11516867185656994,0.19424167874274031
gated_fusion_mlp,temperature_scaled,test,0.2,0.19217470427661512,0.06756141947224749,0.0,0.12461328480436765,0.19217470427661512
gated_fusion_mlp,temperature_scaled,test,0.21,0.19111390101473147,0.05575839946556711,0.0,0.13535550154916437,0.19111390101473147
gated_fusion_mlp,temperature_scaled,test,0.22,0.1899115746249504,0.04365273792025384,0.0,0.14625883670469658,0.1899115746249504
gated_fusion_mlp,temperature_scaled,test,0.23,0.18805407513323802,0.031232643607529875,0.0,0.15682143152570813,0.18805407513323802
gated_fusion_mlp,temperature_scaled,test,0.24,0.18574780901297833,0.018485704707628947,0.0,0.16726210430534938,0.18574780901297833
gated_fusion_mlp,temperature_scaled,test,0.25,0.18404610251744008,0.005398847437063986,0.0,0.1786472550803761,0.18404610251744008
