model_name,probability_mode,coverage,uncertainty_score,referred_n,referral_fraction,mean_predicted_labels_per_record,mean_entropy,mean_margin_uncertainty,error_rate_if_available,NORM_prevalence,MI_prevalence,STTC_prevalence,CD_prevalence,HYP_prevalence
strong_signal_only,temperature_scaled,0.7,entropy_max,668,0.3039126478616925,2.019461077844311,0.4112945504357299,-0.0808739247355591,0.7769461077844312,0.2410179640718563,0.3787425149700599,0.3338323353293413,0.2994011976047904,0.1631736526946108
strong_signal_only,temperature_scaled,0.6,entropy_max,921,0.41901728844404,1.9218241042345277,0.3985955150093095,-0.0848115414634447,0.7252985884907709,0.2366992399565689,0.3767643865363735,0.3376764386536373,0.3181324647122692,0.1693811074918566
strong_signal_only,temperature_scaled,0.5,entropy_max,1133,0.5154686078252957,1.8040600176522508,0.3883084266093016,-0.090603358019879,0.6813768755516328,0.2480141218005295,0.3583406884377758,0.3318623124448367,0.3150926743159752,0.1703442188879082
strong_signal_only,temperature_scaled,1.0,margin_uncertainty,0,0.0,,,,,,,,,
strong_signal_only,temperature_scaled,0.9,margin_uncertainty,223,0.1014558689717925,1.7130044843049328,0.405765032401845,-0.0118219206077368,0.7085201793721974,0.2466367713004484,0.3452914798206278,0.3094170403587444,0.2959641255605381,0.1524663677130044
strong_signal_only,temperature_scaled,0.8,margin_uncertainty,448,0.2038216560509554,1.7522321428571428,0.4037466007866662,-0.0258466850876677,0.71875,0.2120535714285714,0.3638392857142857,0.3549107142857143,0.3102678571428571,0.15625
strong_signal_only,temperature_scaled,0.7,margin_uncertainty,636,0.2893539581437671,1.7358490566037736,0.395123062491495,-0.0385185751865009,0.6792452830188679,0.2327044025157232,0.35062893081761,0.3317610062893081,0.3160377358490566,0.1698113207547169
strong_signal_only,temperature_scaled,0.6,margin_uncertainty,878,0.3994540491355778,1.7118451025056949,0.3877350136371479,-0.0556915663753156,0.6526195899772209,0.2517084282460137,0.347380410022779,0.3234624145785877,0.3154897494305239,0.1617312072892938
strong_signal_only,temperature_scaled,0.5,margin_uncertainty,1098,0.4995450409463148,1.6839708561020037,0.3785195676956425,-0.0723092012926184,0.6293260473588342,0.2586520947176685,0.3360655737704918,0.3187613843351548,0.3069216757741348,0.1548269581056466
signal_embedding_mlp,raw,1.0,entropy_macro,0,0.0,,,,,,,,,
signal_embedding_mlp,raw,0.9,entropy_macro,228,0.1037306642402183,1.9824561403508771,0.4571436703520095,-0.0738376940877193,0.8289473684210527,0.1403508771929824,0.4473684210526316,0.3947368421052631,0.2807017543859649,0.2368421052631578
signal_embedding_mlp,raw,0.8,entropy_macro,433,0.1969972702456779,1.891454965357968,0.4203629636480715,-0.0816383903764434,0.7598152424942263,0.1709006928406466,0.4226327944572748,0.4110854503464203,0.2956120092378753,0.2240184757505773
signal_embedding_mlp,raw,0.7,entropy_macro,680,0.3093721565059145,1.7897058823529413,0.3863677268180389,-0.0906406955716176,0.7102941176470589,0.2102941176470588,0.3897058823529412,0.3985294117647059,0.275,0.1985294117647058
signal_embedding_mlp,raw,0.6,entropy_macro,941,0.4281164695177434,1.716259298618491,0.3574735259130329,-0.0994455063074389,0.6684378320935175,0.2391073326248671,0.3666312433581296,0.3719447396386822,0.2805526036131774,0.1859723698193411
signal_embedding_mlp,raw,0.5,entropy_macro,1126,0.5122838944494995,1.6802841918294849,0.3386646311497936,-0.1047305058823268,0.6483126110124334,0.2486678507992895,0.3570159857904085,0.3632326820603908,0.2904085257548845,0.1731793960923623
signal_embedding_mlp,raw,1.0,entropy_max,0,0.0,,,,,,,,,
signal_embedding_mlp,raw,0.9,entropy_max,232,0.105550500454959,1.6939655172413792,0.3761810810325099,-0.0940887712814655,0.7370689655172413,0.1939655172413793,0.4051724137931034,0.3793103448275862,0.293103448275862,0.1724137931034483
signal_embedding_mlp,raw,0.8,entropy_max,426,0.1938125568698817,1.8028169014084507,0.3749017771487931,-0.0944361339215962,0.7488262910798122,0.1948356807511737,0.3967136150234742,0.3732394366197183,0.3051643192488263,0.1901408450704225
