model_name,split,calibration_mode,metric,estimate,ci_lower,ci_upper,delta_vs_raw,notes
gated_fusion_mlp,test,raw,macro_brier,0.0857853472737688,0.0808298707129368,0.0903342758129393,,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
gated_fusion_mlp,test,raw,macro_ece,0.0355719483167691,0.0327462071569274,0.043534895042288,,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
gated_fusion_mlp,test,raw,macro_mce,0.1828466530131571,,,,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
late_probability_concat,val,raw,macro_brier,0.1159238037343765,,,,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
late_probability_concat,val,raw,macro_ece,0.1090530601963841,,,,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
late_probability_concat,val,raw,macro_mce,0.2988675207596502,,,,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
late_probability_concat,test,raw,macro_brier,0.1204768485581127,,,,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
late_probability_concat,test,raw,macro_ece,0.1107475052605052,,,,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
late_probability_concat,test,raw,macro_mce,0.3360863258502458,,,,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
strong_signal_only,val,temperature_scaled,macro_brier,0.089452840455156,0.0859005630320808,0.0947308823174902,-0.0007208229254631049,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
strong_signal_only,val,temperature_scaled,macro_ece,0.0316604393119747,0.0302145078548875,0.0402404720955802,-0.005170639432960401,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
strong_signal_only,val,temperature_scaled,macro_mce,0.1556990911979089,,,-0.034273068958753705,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
strong_signal_only,test,temperature_scaled,macro_brier,0.0902657783630855,0.0859005630320808,0.0947308823174902,-0.0007803529506903023,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
strong_signal_only,test,temperature_scaled,macro_ece,0.0319842109463365,0.0302145078548875,0.0402404720955802,-0.005020183002883302,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
strong_signal_only,test,temperature_scaled,macro_mce,0.1554060147819918,,,-0.035396860253422674,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
signal_embedding_mlp,val,temperature_scaled,macro_brier,0.0864316718869566,,,-0.0011320749351897003,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
signal_embedding_mlp,val,temperature_scaled,macro_ece,0.0197740437856074,,,-0.0143964623061115,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
signal_embedding_mlp,val,temperature_scaled,macro_mce,0.1195087621377913,,,-0.030843056167648097,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
signal_embedding_mlp,test,temperature_scaled,macro_brier,0.0883214029422767,,,-0.0012503922959366115,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
signal_embedding_mlp,test,temperature_scaled,macro_ece,0.0216885825062451,,,-0.0163697291162136,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
signal_embedding_mlp,test,temperature_scaled,macro_mce,0.1327117824969434,,,-0.024956097727832388,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
structured_mlp,val,temperature_scaled,macro_brier,0.0936662799087131,0.0899906278419684,0.0983395572243103,-0.0002720253023780067,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
structured_mlp,val,temperature_scaled,macro_ece,0.0170928718737025,0.0220738806127379,0.0312194176937041,-0.0034181825936677006,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
structured_mlp,val,temperature_scaled,macro_mce,0.0924109829608516,,,-0.025937486357307304,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
structured_mlp,test,temperature_scaled,macro_brier,0.0942079052680269,0.0899906278419684,0.0983395572243103,-0.00018425193462549838,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
structured_mlp,test,temperature_scaled,macro_ece,0.0212262025334467,0.0220738806127379,0.0312194176937041,-0.005031840231071099,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
structured_mlp,test,temperature_scaled,macro_mce,0.1414711608741699,,,-0.0060112317853051045,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
fair_concat_mlp,val,temperature_scaled,macro_brier,0.0843784440632325,0.0818464536637931,0.0908802610956084,-0.0015626751648720044,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
fair_concat_mlp,val,temperature_scaled,macro_ece,0.025894561705704,0.0279685480478557,0.0370103630473013,-0.013668071424750503,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
fair_concat_mlp,val,temperature_scaled,macro_mce,0.1228739928007583,,,-0.026900016897161108,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
fair_concat_mlp,test,temperature_scaled,macro_brier,0.0863555013277471,0.0818464536637931,0.0908802610956084,-0.0017566698744670012,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
fair_concat_mlp,test,temperature_scaled,macro_ece,0.0282842652291674,0.0279685480478557,0.0370103630473013,-0.014002147002360198,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
fair_concat_mlp,test,temperature_scaled,macro_mce,0.1385822434497538,,,-0.042215091527211784,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
gated_fusion_mlp,val,temperature_scaled,macro_brier,0.0830723031171163,0.079729066419459,0.0885713398500221,-0.001287601546025599,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
gated_fusion_mlp,val,temperature_scaled,macro_ece,0.0181146659049555,0.0207191381586141,0.0288183295741381,-0.013915640102242902,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
gated_fusion_mlp,val,temperature_scaled,macro_mce,0.0930386341095903,,,-0.053676908130021087,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
gated_fusion_mlp,test,temperature_scaled,macro_brier,0.0844206012355246,0.079729066419459,0.0885713398500221,-0.0013647460382441995,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
gated_fusion_mlp,test,temperature_scaled,macro_ece,0.0192763995064153,0.0207191381586141,0.0288183295741381,-0.0162955488103538,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
gated_fusion_mlp,test,temperature_scaled,macro_mce,0.1188908867405512,,,-0.06395576627260591,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
late_probability_concat,val,temperature_scaled,macro_brier,0.1159238037343765,,,0.0,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
late_probability_concat,val,temperature_scaled,macro_ece,0.1090530601963841,,,0.0,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
late_probability_concat,val,temperature_scaled,macro_mce,0.2988675207596502,,,0.0,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
late_probability_concat,test,temperature_scaled,macro_brier,0.1204768485581127,,,0.0,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
late_probability_concat,test,temperature_scaled,macro_ece,0.1107475052605052,,,0.0,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
late_probability_concat,test,temperature_scaled,macro_mce,0.3360863258502458,,,0.0,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
